hello	greet()
hi i want a cheap restaurant	inform(pricerange=cheap)
looking for some chinese food	inform(food=chinese)
is there any moderate place	inform(pricerange=moderate)
i would like an expensive restaurant in the south	inform(pricerange=expensive,area=south)
what is the address	request(addr)
can i get the phone number	request(phone)
what about the postcode	request(postcode)
i want to know the price range	request(pricerange)
show me the area	request(area)
anywhere is fine	inform(this=dontcare)
it does not matter	inform(this=dontcare)
yes correct	affirm()
no i do not want that	negate
thank you good bye	bye()
